,Input.ID_in_set,Input.ID,Input.set,Input.topic,Answer.label.label,guideline,gender,political_orientation,age,english_proficiency,ethnicity,education,speaks_other_language,qualification,binary_labels
32,32,32,val,cloning,CLAIM,1,female,2,41_50,very_well,0,3.0,no,1,1
33,33,33,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
34,34,34,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
35,35,35,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
36,36,36,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
37,37,37,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
38,38,38,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
39,39,39,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
40,40,40,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
41,41,41,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
42,42,42,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
43,43,43,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
44,44,44,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
45,45,45,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
46,46,46,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
47,47,47,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
48,48,48,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
49,49,49,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
50,456,50,train,cloning,CLAIM,1,female,2,41_50,very_well,0,3.0,no,1,1
51,102,51,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
52,1126,52,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
53,1003,53,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
54,914,54,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
55,571,55,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
56,419,56,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
57,356,57,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
58,1728,58,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
59,130,59,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
60,122,60,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
61,383,61,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
62,895,62,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
63,952,63,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
64,2069,64,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
65,108,65,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
66,814,66,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
67,1718,67,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
68,902,68,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
69,1839,69,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
70,1139,70,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
71,26,71,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
72,653,72,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
73,1731,73,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
74,1393,74,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
75,1138,75,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
76,636,76,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
77,881,77,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
78,1378,78,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
79,418,79,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
80,379,80,train,cloning,CLAIM,1,female,1,31_40,very_well,0,2.0,no,1,1
81,1556,81,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
82,396,82,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
83,1470,83,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
84,1408,84,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
85,1083,85,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
86,177,86,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
87,1881,87,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
88,511,88,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
89,1550,89,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
90,322,90,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
91,1200,91,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
92,1481,92,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
93,787,93,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
94,284,94,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
95,187,95,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
96,933,96,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
97,1185,97,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
98,326,98,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
99,953,99,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
100,413,100,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
101,1857,101,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
102,1494,102,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
103,666,103,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
104,1516,104,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
105,1455,105,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
106,858,106,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
107,1093,107,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
108,292,108,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
109,700,109,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
110,1002,110,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
111,669,111,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
112,1893,112,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
113,1554,113,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
114,1105,114,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
115,899,115,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
116,1328,116,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
117,229,117,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
118,938,118,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
119,131,119,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
120,1292,120,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
121,1643,121,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
122,1096,122,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
123,271,123,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
124,864,124,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
125,1288,125,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
126,870,126,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
127,2044,127,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
128,1620,128,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
129,1879,129,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
130,585,130,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
131,1084,131,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
132,1010,132,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
133,1076,133,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
134,1754,134,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
135,1635,135,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
136,1482,136,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
137,898,137,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
138,566,138,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
139,2087,139,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
140,2021,140,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
141,372,141,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
142,192,142,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
143,449,143,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
144,626,144,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
145,655,145,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
146,1729,146,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
147,260,147,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
148,1576,148,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
149,1563,149,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
150,1917,150,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
151,2167,151,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
152,1029,152,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
153,47,153,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
154,469,154,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
155,1092,155,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
156,1202,156,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
157,1780,157,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
158,647,158,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
159,1858,159,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
160,13,160,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
161,1078,161,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
162,2050,162,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
163,731,163,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
164,2079,164,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
165,435,165,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
166,1222,166,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
167,1531,167,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
168,661,168,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
169,2172,169,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
170,2,170,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
171,1327,171,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
172,2001,172,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
173,79,173,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
174,458,174,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
175,1486,175,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
176,1259,176,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
177,980,177,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
178,237,178,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
179,986,179,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
180,350,180,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
181,1990,181,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
182,283,182,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
183,2181,183,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
184,515,184,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
185,525,185,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
186,1946,186,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
187,676,187,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
188,1085,188,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
189,2161,189,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
190,1733,190,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
191,867,191,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
192,823,192,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
193,1276,193,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
194,1634,194,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
195,1529,195,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
196,1794,196,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
197,2119,197,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
198,1849,198,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
199,495,199,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
200,1015,200,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
201,920,201,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
202,262,202,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
203,1384,203,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
204,86,204,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
205,942,205,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
206,29,206,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
207,290,207,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
208,241,208,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
209,937,209,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
210,276,210,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
211,128,211,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
212,1353,212,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
213,2105,213,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
214,974,214,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
215,1140,215,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
216,1988,216,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
217,877,217,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
218,541,218,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
219,1936,219,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
220,995,220,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
221,1937,221,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
222,1667,222,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
223,779,223,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
224,386,224,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
225,397,225,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
226,1765,226,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
227,1451,227,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
228,1734,228,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
229,1683,229,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
230,1912,230,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
231,221,231,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
232,403,232,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
233,248,233,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
234,1649,234,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
235,1389,235,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
236,447,236,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
237,1018,237,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
238,784,238,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
239,1837,239,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
240,574,240,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
241,751,241,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
242,1894,242,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
243,1023,243,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
244,308,244,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
245,1815,245,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
246,401,246,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
247,207,247,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
248,60,248,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
249,382,249,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
250,968,250,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
251,681,251,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
252,1664,252,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
253,1989,253,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
254,1971,254,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
255,875,255,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
256,1642,256,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
257,240,257,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
258,674,258,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
259,1552,259,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
260,8,260,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
261,1599,261,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
262,1086,262,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
263,1863,263,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
264,1168,264,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
265,1732,265,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
266,1993,266,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
267,634,267,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
268,777,268,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
269,1215,269,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
270,891,270,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
271,239,271,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
272,249,272,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
273,1284,273,train,cloning,NO CLAIM,1,female,2,41_50,very_well,0,3.0,no,1,0
274,234,274,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
275,205,275,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
276,1952,276,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
277,2059,277,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
278,2175,278,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
279,644,279,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
280,232,280,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
281,2080,281,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
282,328,282,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
283,761,283,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
284,280,284,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
285,278,285,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
286,963,286,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
287,1653,287,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
288,491,288,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
289,1008,289,train,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
290,162,290,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
291,335,291,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
292,1717,292,train,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
