,sentence_id,topic,label,age,education,ethnicity,pol_alignment,english_proficiency,second_lang,guideline,binary_label,pol,group,gender,orig_labels,orig_labels_binary,Input.ID_in_set,Input.set,Input.ID
12,13,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,6.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,12,val,12
13,14,cloning,CLAIM,41-50,Some college but no degree,Black or African American,4.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,13,val,13
14,15,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,8.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,14,val,14
15,16,cloning,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,9.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,15,val,15
16,17,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,9.0,Very well,Yes,1,0,conservative,MC,male,NoArgument,0,16,val,16
17,18,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,6.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,17,val,17
18,19,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,5.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,18,val,18
19,20,cloning,CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",White,9.0,Very well,Yes,1,1,conservative,MC,male,Argument_against,1,19,val,19
20,21,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,10.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,20,val,20
21,22,cloning,NO CLAIM,21-30,Associate degree in college - Academic program,White,8.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,21,val,21
22,23,cloning,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,9.0,Well,Yes,1,1,conservative,MC,male,Argument_against,1,22,val,22
23,24,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,8.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,23,val,23
24,25,cloning,NO CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",White,8.0,Well,Yes,1,0,conservative,MC,male,Argument_against,1,24,val,24
25,26,cloning,CLAIM,41-50,11th grade,"White,American Indian or Alaska Native",7.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,25,val,25
26,27,cloning,CLAIM,20 or below,Associate degree in college - Academic program,White,10.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,26,val,26
27,28,cloning,CLAIM,21-30,Some college but no degree,White,7.0,Very well,Yes,1,1,conservative,MC,male,NoArgument,0,27,val,27
28,29,cloning,NO CLAIM,31-40,"Doctorate degree (For example: PhD, EdD)",White,0.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,28,val,28
29,30,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,10.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,29,val,29
30,31,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,10.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,30,val,30
31,32,cloning,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Well,No,1,0,conservative,MC,male,NoArgument,0,31,val,31
32,33,cloning,NO CLAIM,20 or below,Some college but no degree,White,9.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,32,val,32
33,34,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,5.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,33,val,33
34,35,cloning,CLAIM,20 or below,Associate degree in college - Academic program,White,10.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,34,val,34
35,36,cloning,CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,10.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,35,val,35
36,37,cloning,NO CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,10.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,36,val,36
37,38,cloning,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,10.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,37,val,37
38,39,cloning,CLAIM,31-40,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",Asian,7.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,38,val,38
39,40,cloning,CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,6.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,39,val,39
40,41,cloning,CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,2.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,40,val,40
41,42,cloning,NO CLAIM,41-50,"Bachelor's degree (For example: BA, AB, BS)",White,7.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,41,val,41
42,43,cloning,CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,42,val,42
43,44,cloning,CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",Black or African American,9.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,43,val,43
44,45,cloning,CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",Black or African American,9.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,44,val,44
45,46,cloning,CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,6.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,45,val,45
46,47,cloning,NO CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,46,val,46
47,48,cloning,CLAIM,41-50,"Bachelor's degree (For example: BA, AB, BS)",White,7.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,47,val,47
48,49,cloning,CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,9.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,48,val,48
49,50,cloning,CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,8.0,Well,No,1,1,conservative,MC,male,Argument_for,1,49,val,49
50,51,cloning,CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,10.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,456,train,50
51,52,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,102,train,51
52,53,cloning,NO CLAIM,51 or above,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,1126,train,52
53,54,cloning,CLAIM,51 or above,Some college but no degree,White,8.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,1003,train,53
54,55,cloning,CLAIM,51 or above,"Doctorate degree (For example: PhD, EdD)",White,10.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,914,train,54
55,56,cloning,NO CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",White,8.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,571,train,55
56,57,cloning,NO CLAIM,31-40,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",Asian,7.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,419,train,56
57,58,cloning,NO CLAIM,51 or above,"Doctorate degree (For example: PhD, EdD)",White,10.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,356,train,57
58,59,cloning,CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,6.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1728,train,58
59,60,cloning,CLAIM,51 or above,Some college but no degree,White,8.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,130,train,59
60,61,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,7.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,122,train,60
61,62,cloning,NO CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",White,8.0,Well,Yes,1,0,conservative,MC,male,Argument_against,1,383,train,61
62,63,cloning,CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,6.0,Very well,Yes,1,1,conservative,MC,male,NoArgument,0,895,train,62
63,64,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,952,train,63
64,65,cloning,CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,6.0,Well,No,1,1,conservative,MC,male,NoArgument,0,2069,train,64
65,66,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,108,train,65
66,67,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,8.0,Well,Yes,1,1,conservative,MC,male,Argument_for,1,814,train,66
67,68,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,5.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1718,train,67
68,69,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,8.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,902,train,68
69,70,cloning,CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",Black or African American,9.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1839,train,69
70,71,cloning,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,10.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,1139,train,70
71,72,cloning,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,6.0,Well,No,1,0,conservative,MC,male,Argument_against,1,26,train,71
72,73,cloning,NO CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,653,train,72
73,74,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,6.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,1731,train,73
74,75,cloning,NO CLAIM,31-40,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,6.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,1393,train,74
75,76,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1138,train,75
76,77,cloning,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,5.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,636,train,76
77,78,cloning,CLAIM,31-40,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,6.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,881,train,77
78,79,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,7.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,1378,train,78
79,80,cloning,CLAIM,51 or above,Associate degree in college - Occupational/vocational program,American Indian or Alaska Native,5.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,418,train,79
80,81,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,7.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,379,train,80
81,82,cloning,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,9.0,Well,Yes,1,1,conservative,MC,male,NoArgument,0,1556,train,81
82,83,cloning,NO CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,6.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,396,train,82
83,84,cloning,NO CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,2.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,1470,train,83
84,85,cloning,CLAIM,31-40,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",Asian,7.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,1408,train,84
85,86,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,1083,train,85
86,87,cloning,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,6.0,Very well,Yes,1,0,conservative,MC,male,NoArgument,0,177,train,86
87,88,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,8.0,Well,Yes,1,0,conservative,MC,male,Argument_for,1,1881,train,87
88,89,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,6.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,511,train,88
89,90,cloning,NO CLAIM,31-40,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",Asian,7.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,1550,train,89
90,91,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,7.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,322,train,90
91,92,cloning,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,5.0,Well,Yes,1,0,conservative,MC,male,NoArgument,0,1200,train,91
92,93,cloning,NO CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,9.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,1481,train,92
93,94,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,6.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,787,train,93
94,95,cloning,CLAIM,21-30,Some college but no degree,White,7.0,Very well,Yes,1,1,conservative,MC,male,Argument_against,1,284,train,94
95,96,cloning,CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,2.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,187,train,95
96,97,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,8.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,933,train,96
97,98,cloning,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Well,No,1,0,conservative,MC,male,Argument_against,1,1185,train,97
98,99,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,5.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,326,train,98
99,100,cloning,CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",White,8.0,Well,Yes,1,1,conservative,MC,male,Argument_for,1,953,train,99
100,101,cloning,NO CLAIM,41-50,11th grade,"White,American Indian or Alaska Native",7.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,413,train,100
101,102,cloning,NO CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,1857,train,101
102,103,cloning,NO CLAIM,31-40,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",Asian,7.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,1494,train,102
103,104,cloning,CLAIM,20 or below,Some college but no degree,White,9.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,666,train,103
104,105,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,7.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,1516,train,104
105,106,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,8.0,Well,Yes,1,1,conservative,MC,male,NoArgument,0,1455,train,105
106,107,cloning,NO CLAIM,21-30,Some college but no degree,White,10.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,858,train,106
107,108,cloning,CLAIM,41-50,Some college but no degree,Black or African American,4.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1093,train,107
108,109,cloning,CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",Black or African American,9.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,292,train,108
109,110,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,5.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,700,train,109
110,111,cloning,CLAIM,51 or above,Associate degree in college - Occupational/vocational program,American Indian or Alaska Native,5.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,1002,train,110
111,112,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,10.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,669,train,111
112,113,cloning,CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1893,train,112
113,114,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,8.0,Well,Yes,1,1,conservative,MC,male,Argument_against,1,1554,train,113
114,115,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,9.0,Very well,Yes,1,1,conservative,MC,male,Argument_for,1,1105,train,114
115,116,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,10.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,899,train,115
116,117,cloning,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,5.0,Well,Yes,1,1,conservative,MC,male,Argument_against,1,1328,train,116
117,118,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,6.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,229,train,117
118,119,cloning,CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,938,train,118
119,120,cloning,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,9.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,131,train,119
120,121,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1292,train,120
121,122,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,9.0,Very well,Yes,1,1,conservative,MC,male,NoArgument,0,1643,train,121
122,123,cloning,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,9.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1096,train,122
123,124,cloning,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,7.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,271,train,123
124,125,cloning,NO CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,864,train,124
125,126,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,9.0,Very well,Yes,1,1,conservative,MC,male,Argument_for,1,1288,train,125
126,127,cloning,CLAIM,31-40,"Doctorate degree (For example: PhD, EdD)",White,0.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,870,train,126
127,128,cloning,CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,6.0,Well,No,1,1,conservative,MC,male,Argument_against,1,2044,train,127
128,129,cloning,CLAIM,51 or above,Some college but no degree,White,8.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,1620,train,128
129,130,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,1879,train,129
130,131,cloning,CLAIM,20 or below,Some college but no degree,White,9.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,585,train,130
131,132,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,1084,train,131
132,133,cloning,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,5.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1010,train,132
133,134,cloning,CLAIM,31-40,"Doctorate degree (For example: PhD, EdD)",White,10.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,1076,train,133
134,135,cloning,NO CLAIM,51 or above,Some college but no degree,White,8.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,1754,train,134
135,136,cloning,CLAIM,31-40,"Doctorate degree (For example: PhD, EdD)",White,9.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1635,train,135
136,137,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,6.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1482,train,136
137,138,cloning,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,5.0,Well,Yes,1,1,conservative,MC,male,Argument_against,1,898,train,137
138,139,cloning,CLAIM,41-50,"Bachelor's degree (For example: BA, AB, BS)",White,7.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,566,train,138
139,140,cloning,CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,2087,train,139
140,141,cloning,CLAIM,21-30,Associate degree in college - Academic program,White,8.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,2021,train,140
141,142,cloning,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,10.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,372,train,141
142,143,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,7.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,192,train,142
143,144,cloning,NO CLAIM,41-50,11th grade,"White,American Indian or Alaska Native",7.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,449,train,143
144,145,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,7.0,Very well,No,1,0,conservative,MC,male,Argument_against,1,626,train,144
145,146,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,655,train,145
146,147,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,9.0,Very well,Yes,1,0,conservative,MC,male,NoArgument,0,1729,train,146
147,148,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,10.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,260,train,147
148,149,cloning,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,10.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,1576,train,148
149,150,cloning,CLAIM,41-50,Some college but no degree,Black or African American,4.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,1563,train,149
150,151,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,1917,train,150
151,152,cloning,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,5.0,Well,Yes,1,0,conservative,MC,male,Argument_for,1,2167,train,151
152,153,cloning,NO CLAIM,21-30,Associate degree in college - Academic program,White,8.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,1029,train,152
153,154,cloning,NO CLAIM,51 or above,Some college but no degree,White,8.0,Very well,No,1,0,conservative,MC,male,Argument_for,1,47,train,153
154,155,cloning,CLAIM,31-40,"Doctorate degree (For example: PhD, EdD)",White,9.0,Very well,No,1,1,conservative,MC,male,Argument_for,1,469,train,154
155,156,cloning,NO CLAIM,21-30,Some college but no degree,White,10.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,1092,train,155
156,157,cloning,CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",White,8.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,1202,train,156
157,158,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1780,train,157
158,159,cloning,CLAIM,21-30,Some college but no degree,White,10.0,Very well,No,1,1,conservative,MC,male,Argument_against,1,647,train,158
